ID;NOME;CODIGO;CATEGORIA;UNIDADE
1560;LEITE ESPECIAL ITALAC INTEGRAL 1L;7898080640611;BEBIDA NÃO ALCÓLICA;UN
1633;LEITE ESPECIAL ITALAC SEMI DESNATADO ENRIQUECIDO COM VIT A E D;7898080640628;BEBIDA NÃO ALCÓLICA;UN
1384;LEITE INTEGRAL COMPLEITE 1L;7896773900417;BEBIDA NÃO ALCÓLICA;UN
53;LEITE INTEGRAL ITALAC 1L;7898080640611;BEBIDA NÃO ALCÓLICA;UN
1482;LEMON PEPPER CHEF 80G;7896570081234;MERCEARIA;UN
1605;LEVISSIMO SEARA FATIADO;7894904265817;FRIOS E LATICINIOS;UN
1437;LING.FRANGO FINA COPACOL RESF. 700G;7891527072501;CARNES;UN
1438;LINGUICA TOSC SUINA SEARA 600G;7894904605088;CARNES;UN
179;MACARRAO CUP NOODLES COSTELA COM MOLHO DE CHURRASCO 72G;7891079013083;SALGADOS E SNACKS;UN
92;MACARRÃO CUP NOODLES BOLONHESA 72G;7891079013120;SALGADOS E SNACKS;UN
91;MACARRÃO CUP NOODLES GALINHA CAIPIRA 69G;7891079013038;SALGADOS E SNACKS;UN
1624;MAGGI CALDO CARNE TABLETE 19G;7891000242452;MERCEARIA;UN
157;MARMITA SABORES;10004;ARTESANAIS;UN
1636;MILHO DE PIPOCA PARA MICROONDAS DE MANTEIGA YOKI 100G;7891095100934;MERCEARIA;UN
1637;MILHO PARA PIPOCA 500G;7896116900784;MERCEARIA;UN
33;MINI BOMBOM COM AMENDOIM FLORMEL 12G;7896653709505;LINHA FIT;UN
105;MIX NUTS AMENDOAS X AMENDOIM 30G;7898925213208;LINHA FIT;UN
263;MOLHO DE TOMATE  TRADICIONAL PREDILECTA 300G;7896292333000;MERCEARIA;UN
1604;MONSTER ENERGY ZERO SUGAR 473ML;7898938890076;BEBIDA NÃO ALCÓLICA;UN
192;NECTAR PESSEGO DEL VALLE LATA 290ML;7894900660319;BEBIDA NÃO ALCÓLICA;UN
1546;NIVEA SAB HIDRAT LAVANDA 85G;4005900521972;HIGIENE E LIMPEZA;UN
1453;NUTRINECTAR UVA 1L;7898920195141;BEBIDA NÃO ALCÓLICA;UN
1577;PAPEL HIGIENICO PERSONAL 4R VIP FOLHA DUPLA NEUTRO 30M;7896110000176;MERCEARIA;UN
1573;PAPEL TOALHA SCALA PLUS 2 ROLOS 200 FOLHAS;7898962794296;DESCARTÁVEIS E UTILIDADES;UN
1479;PAPRICA PICANTE CHEF 70G;7896570081319;MERCEARIA;UN
